IP_LOC,Method_LOC,File_LOC,Var_Type,Var_Property,Var_Init,Def_C_IP,Def_C_Other,Def_C_If,Def_C_For,Def_C_While,Def_V_IP,Def_V_Other,Def_V_If,Def_V_For,Def_V_While,Def_Lib_IP,Def_Lib_Other,Def_Lib_If,Def_Lib_For,Def_Lib_While,Def_User_IP,Def_User_Other,Def_User_If,Def_User_For,Def_User_While,Use_V_IP,Use_V_Other,Use_V_If,Use_V_For,Use_V_While,Use_Lib_IP,Use_Lib_Other,Use_Lib_If,Use_Lib_For,Use_Lib_While,Use_User_IP,Use_User_Other,Use_User_If,Use_User_For,Use_User_While,Use_If_IP,Use_If_Other,Use_For_IP,Use_For_Other,Use_While_IP,Use_While_Other,Defect
25,52,423,0,1,0,0,2,0,1,0,5,11,0,12,0,0,3,0,3,0,0,0,0,0,0,4,21,0,21,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
24,52,423,0,1,0,0,2,0,1,0,5,8,0,9,0,0,3,0,3,0,0,0,0,0,0,3,18,0,17,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
28,52,423,0,1,0,0,2,0,1,0,8,17,0,21,0,0,3,0,3,0,0,0,0,0,0,8,29,0,23,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
23,52,423,0,1,0,0,2,0,1,0,3,7,0,6,0,0,3,0,3,0,0,0,0,0,0,3,14,0,13,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
8,16,281,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,FALSE
35,36,521,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,FALSE
2,170,1334,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,1,0,10,0,0,0,1,0,1,0,1,0,7,0,0,0,0,8,0,0,0,1,TRUE
13,34,1403,0,1,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,1,7,0,8,0,0,10,0,8,0,0,0,0,0,0,2,9,5,11,0,0,3,0,5,0,0,FALSE
6,33,197,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,FALSE
59,41,974,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,FALSE
