IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
10,74,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,TRUE
23,74,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,TRUE
35,74,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,TRUE
102,139,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
103,139,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE
103,139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
107,139,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,TRUE
1,145,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,FALSE
10,37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
102,191,0,1,0,1,0,1,0,0,0,0,2,6,0,0,0,1,0,0,TRUE
106,191,0,1,0,1,0,1,0,0,0,0,3,6,0,0,0,1,0,0,TRUE
126,191,0,1,0,1,0,1,0,0,0,0,3,8,0,0,0,1,0,0,TRUE
1,47,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE
6,31,3,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,FALSE
18,206,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
35,206,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,FALSE
8,206,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,FALSE
47,206,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
58,206,0,1,0,0,0,2,0,0,0,0,1,3,0,0,0,1,0,0,TRUE
6,206,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
66,206,0,1,0,0,0,2,0,0,0,0,2,3,0,0,0,1,0,0,TRUE
91,206,0,1,1,0,0,2,0,0,0,0,2,2,0,0,0,1,0,0,TRUE
137,206,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,TRUE
18,233,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
33,233,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,FALSE
8,233,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,FALSE
45,233,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
64,233,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,1,0,0,TRUE
72,233,0,1,1,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,TRUE
5,233,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
79,233,0,1,1,0,0,2,0,0,0,0,2,2,0,0,0,1,0,0,TRUE
51,193,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
51,193,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
55,193,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE
57,193,1,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,TRUE
62,193,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
64,193,1,2,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,TRUE
93,193,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,2,0,0,TRUE
92,193,3,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,TRUE
92,193,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,5,0,0,TRUE
100,193,1,0,0,0,0,0,0,0,0,2,2,0,2,0,0,6,0,0,TRUE
102,193,1,0,0,0,0,0,0,0,0,3,2,0,2,0,0,6,0,0,TRUE
103,193,1,0,0,0,0,0,0,0,0,3,2,0,2,0,0,6,0,1,TRUE
88,181,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
28,44,2,1,2,1,2,0,0,0,0,2,0,0,0,0,0,3,0,1,FALSE
29,44,2,1,2,2,2,0,0,0,0,2,0,0,0,0,0,3,0,1,FALSE
34,44,2,1,2,2,2,0,0,0,0,4,0,0,0,0,0,3,0,1,FALSE
35,44,2,1,3,2,2,0,0,0,0,5,0,0,0,0,0,3,0,1,FALSE
36,44,2,1,4,2,2,0,0,0,0,5,0,0,0,0,0,3,0,1,FALSE
15,149,4,0,0,0,0,0,0,0,0,0,1,2,3,0,0,4,0,1,FALSE
12,144,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,FALSE
12,144,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,FALSE
17,144,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,0,FALSE
21,144,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,4,1,0,FALSE
28,144,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,5,1,0,FALSE
32,144,3,0,1,0,0,0,0,0,0,0,0,2,2,1,0,10,1,0,FALSE
38,144,3,0,2,0,0,0,0,0,0,0,0,2,2,1,0,10,1,0,FALSE
53,144,3,0,2,0,0,0,0,0,0,0,0,3,2,1,0,10,1,0,FALSE
58,144,3,0,2,0,0,0,0,0,0,0,0,3,2,1,0,11,1,0,FALSE
59,144,3,0,3,0,0,0,0,0,0,0,0,3,2,1,0,11,1,0,FALSE
60,144,3,0,3,0,0,0,0,0,0,0,0,3,2,1,0,12,1,0,FALSE
62,144,3,0,3,0,0,0,0,0,0,0,0,3,2,1,0,14,1,0,FALSE
65,144,3,0,4,0,0,0,0,0,0,0,0,3,2,1,0,14,1,0,FALSE
71,144,3,0,5,0,0,0,0,0,0,1,0,3,2,1,0,14,1,0,FALSE
72,144,3,0,5,0,0,0,0,0,0,2,0,3,2,1,0,14,1,0,FALSE
