total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
23,22,15,41,58,99,357,0.07,14.29,5100,283.33,4,2,3,2,3,0.14,1,5,TRUE
142,60,29,252,351,603,2706,0.02,50,135300,7516.67,52,26,26,18,25,0.22,1.44,7,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,FALSE
136,22,21,209,367,576,2166,0.01,100,216600,12033.33,40,20,4,19,19,0.18,1.05,8,TRUE
37,27,18,75,118,193,734,0.04,25,18350,1019.44,6,3,3,2,4,0.12,1.5,5,FALSE
37,27,18,75,118,193,734,0.04,25,18350,1019.44,6,3,3,2,4,0.12,1.5,5,FALSE
37,27,18,75,118,193,734,0.04,25,18350,1019.44,6,3,3,2,4,0.12,1.5,5,TRUE
71,35,19,108,160,268,1069,0.03,33.33,35633.33,1979.63,24,12,8,9,12,0.21,1.33,3,FALSE
71,35,19,108,160,268,1069,0.03,33.33,35633.33,1979.63,24,12,8,9,12,0.21,1.33,3,FALSE
71,35,19,108,160,268,1069,0.03,33.33,35633.33,1979.63,24,12,8,9,12,0.21,1.33,3,FALSE
71,35,19,108,160,268,1069,0.03,33.33,35633.33,1979.63,24,12,8,9,12,0.21,1.33,3,FALSE
71,35,19,108,160,268,1069,0.03,33.33,35633.33,1979.63,24,12,8,9,12,0.21,1.33,3,TRUE
19,22,14,39,54,93,333,0.08,12.5,4162.5,231.25,2,1,3,1,2,0.11,1,5,TRUE
130,65,25,225,293,518,2330,0.02,50,116500,6472.22,40,20,15,18,19,0.19,1.11,3,FALSE
46,28,21,79,108,187,727,0.03,33.33,24233.33,1346.3,12,6,2,4,7,0.18,1.5,3,TRUE
